Date,About,Period,Player Load Per Minute,IMA Accel Low,IMA Accel High,IMA Accel Total,IMA Jump Count Low Band,IMA Jump Count Med Band,IMA Jump Count High Band,Season,Prop_Accel_High,Prop_Jump_High
2022-12-20,Athlete D,Game,12.4,23,14,41,13,9,9,1,0.34146341463414637,0.2903225806451613
2022-12-20,Athlete F,Game,12.0,80,19,123,38,22,16,1,0.15447154471544716,0.21052631578947367
2022-12-20,Athlete G,Game,12.350000000000001,34,12,53,25,6,8,1,0.22641509433962265,0.20512820512820512
2022-12-20,Athlete H,Game,10.75,55,30,102,22,17,11,1,0.29411764705882354,0.22
2022-12-20,Athlete J,Game,12.850000000000001,67,21,123,34,30,6,1,0.17073170731707318,0.08571428571428572
2022-12-20,Ben Vander Plas,Game,10.55,100,25,154,17,21,11,1,0.16233766233766234,0.22448979591836735
2022-12-28,Athlete A,Game,12.95,31,25,79,18,11,11,1,0.31645569620253167,0.275
2022-12-28,Athlete B,Game,11.4,30,3,38,21,8,4,1,0.07894736842105263,0.12121212121212122
2022-12-28,Athlete C,Game,12.899999999999999,68,15,106,26,18,9,1,0.14150943396226415,0.16981132075471697
2022-12-28,Athlete D,Game,13.4,58,22,104,38,13,25,1,0.21153846153846154,0.32894736842105265
2022-12-28,Athlete E,Game,15.5,73,24,127,35,12,8,1,0.1889763779527559,0.14545454545454545
2022-12-28,Athlete G,Game,14.25,73,24,125,52,27,13,1,0.192,0.14130434782608695
2022-12-28,Athlete H,Game,13.100000000000001,61,25,106,37,11,12,1,0.2358490566037736,0.2
2022-12-28,Athlete J,Game,13.6,82,21,136,30,16,18,1,0.15441176470588236,0.28125
2022-12-28,Ben Vander Plas,Game,12.85,35,10,68,22,17,5,1,0.14705882352941177,0.11363636363636363
2022-12-31,Athlete A,Game,14.1,26,9,46,10,9,1,1,0.1956521739130435,0.05
2022-12-31,Athlete C,Game,11.4,39,11,63,22,10,11,1,0.1746031746031746,0.2558139534883721
2022-12-31,Athlete D,Game,11.9,54,22,84,23,17,16,1,0.2619047619047619,0.2857142857142857
2022-12-31,Athlete E,Game,13.350000000000001,36,15,75,31,10,10,1,0.2,0.19607843137254902
2022-12-31,Athlete F,Game,13.1,54,9,78,26,10,9,1,0.11538461538461539,0.2
2022-12-31,Athlete G,Game,12.649999999999999,69,22,115,31,14,13,1,0.19130434782608696,0.22413793103448276
2022-12-31,Athlete H,Game,10.25,55,32,107,25,16,13,1,0.29906542056074764,0.24074074074074073
2022-12-31,Athlete J,Game,12.2,64,17,105,19,16,12,1,0.1619047619047619,0.2553191489361702
2022-12-31,Ben Vander Plas,Game,12.25,74,19,121,27,10,7,1,0.15702479338842976,0.1590909090909091
2023-01-03,Athlete C,Game,10.8,35,10,60,12,8,11,1,0.16666666666666666,0.3548387096774194
2023-01-03,Athlete D,Game,11.9,40,20,77,29,13,21,1,0.2597402597402597,0.3333333333333333
2023-01-03,Athlete E,Game,11.75,18,7,30,9,3,3,1,0.23333333333333334,0.2
2023-01-03,Athlete F,Game,9.45,57,10,85,36,20,20,1,0.11764705882352941,0.2631578947368421
2023-01-03,Athlete G,Game,12.6,57,26,109,36,32,16,1,0.23853211009174313,0.19047619047619047
2023-01-03,Athlete H,Game,11.45,69,20,117,36,12,10,1,0.17094017094017094,0.1724137931034483
2023-01-03,Athlete J,Game,14.55,63,29,125,31,26,12,1,0.232,0.17391304347826086
2023-01-03,Ben Vander Plas,Game,12.5,68,25,113,18,17,6,1,0.22123893805309736,0.14634146341463414
2023-01-07,Athlete C,Game,13.4,54,13,84,22,7,13,1,0.15476190476190477,0.30952380952380953
2023-01-07,Athlete D,Game,12.7,72,29,128,35,22,17,1,0.2265625,0.22972972972972974
2023-01-07,Athlete F,Game,12.1,74,13,122,35,18,12,1,0.10655737704918032,0.18461538461538463
2023-01-07,Athlete G,Game,14.25,71,30,133,40,18,25,1,0.22556390977443608,0.30120481927710846
2023-01-07,Athlete H,Game,12.55,73,39,148,37,15,12,1,0.2635135135135135,0.1875
2023-01-07,Athlete J,Game,13.5,80,19,135,36,23,17,1,0.14074074074074075,0.2236842105263158
2023-01-07,Ben Vander Plas,Game,12.4,92,15,129,30,19,16,1,0.11627906976744186,0.24615384615384617
2023-01-10,Athlete A,Game,16.55,21,11,38,5,3,3,1,0.2894736842105263,0.2727272727272727
2023-01-10,Athlete C,Game,12.25,29,8,52,18,9,7,1,0.15384615384615385,0.20588235294117646
2023-01-10,Athlete D,Game,14.149999999999999,72,29,127,22,22,26,1,0.2283464566929134,0.37142857142857144
2023-01-10,Athlete F,Game,12.5,80,32,147,30,22,13,1,0.21768707482993196,0.2
2023-01-10,Athlete G,Game,14.2,60,17,105,31,16,8,1,0.1619047619047619,0.14545454545454545
2023-01-10,Athlete H,Game,13.0,61,45,130,37,15,15,1,0.34615384615384615,0.22388059701492538
2023-01-10,Athlete J,Game,15.3,46,26,99,21,10,9,1,0.26262626262626265,0.225
2023-01-10,Ben Vander Plas,Game,12.45,91,27,140,19,31,19,1,0.19285714285714287,0.2753623188405797
2023-01-14,Athlete C,Game,13.65,28,4,42,17,7,6,1,0.09523809523809523,0.2
2023-01-14,Athlete D,Game,13.399999999999999,51,17,86,21,9,21,1,0.19767441860465115,0.4117647058823529
2023-01-14,Athlete E,Game,14.8,51,12,76,28,21,16,1,0.15789473684210525,0.24615384615384617
2023-01-14,Athlete F,Game,10.5,56,3,75,34,23,11,1,0.04,0.16176470588235295
2023-01-14,Athlete H,Game,12.8,76,23,125,28,16,13,1,0.184,0.22807017543859648
2023-01-14,Athlete J,Game,15.600000000000001,57,23,97,44,20,6,1,0.23711340206185566,0.08571428571428572
2023-01-14,Ben Vander Plas,Game,12.25,80,23,134,28,30,18,1,0.17164179104477612,0.23684210526315788
2023-01-18,Athlete C,Game,13.45,36,11,54,14,4,9,1,0.2037037037037037,0.3333333333333333
2023-01-18,Athlete D,Game,14.8,61,19,106,19,9,16,1,0.1792452830188679,0.36363636363636365
2023-01-18,Athlete E,Game,17.35,83,31,153,60,14,17,1,0.20261437908496732,0.18681318681318682
2023-01-18,Athlete F,Game,13.2,81,23,138,34,19,13,1,0.16666666666666666,0.19696969696969696
2023-01-18,Athlete H,Game,13.350000000000001,70,42,140,28,13,16,1,0.3,0.2807017543859649
2023-01-18,Athlete J,Game,15.7,87,23,139,31,13,11,1,0.16546762589928057,0.2
2023-01-18,Ben Vander Plas,Game,13.55,84,34,147,32,22,17,1,0.23129251700680273,0.23943661971830985
2023-01-21,Athlete C,Game,10.0,27,8,49,17,11,15,1,0.16326530612244897,0.3488372093023256
2023-01-21,Athlete D,Game,10.7,68,17,108,32,17,25,1,0.1574074074074074,0.33783783783783783
2023-01-21,Athlete E,Game,10.75,97,22,151,55,17,19,1,0.1456953642384106,0.2087912087912088
2023-01-21,Athlete F,Game,8.45,35,10,58,25,13,8,1,0.1724137931034483,0.17391304347826086
2023-01-21,Athlete H,Game,9.850000000000001,33,17,73,20,12,13,1,0.2328767123287671,0.28888888888888886
2023-01-21,Athlete J,Game,12.7,64,25,118,32,21,8,1,0.211864406779661,0.13114754098360656
2023-01-21,Ben Vander Plas,Game,11.25,68,33,129,18,26,13,1,0.2558139534883721,0.22807017543859648
2023-01-28,Athlete A,Game,12.85,19,7,34,6,9,1,1,0.20588235294117646,0.0625
2023-01-28,Athlete C,Game,13.3,44,8,66,19,14,13,1,0.12121212121212122,0.2826086956521739
2023-01-28,Athlete D,Game,15.05,55,28,105,15,18,21,1,0.26666666666666666,0.3888888888888889
2023-01-28,Athlete E,Game,15.4,38,22,80,25,15,18,1,0.275,0.3103448275862069
2023-01-28,Athlete F,Game,12.75,76,23,117,30,17,10,1,0.19658119658119658,0.17543859649122806
2023-01-28,Athlete G,Game,15.2,52,18,91,35,13,7,1,0.1978021978021978,0.12727272727272726
2023-01-28,Athlete H,Game,13.25,67,18,103,15,12,10,1,0.17475728155339806,0.2702702702702703
2023-01-28,Athlete J,Game,15.05,82,29,140,46,20,13,1,0.20714285714285716,0.16455696202531644
2023-01-28,Ben Vander Plas,Game,12.65,58,20,92,15,21,10,1,0.21739130434782608,0.21739130434782608
2023-01-30,Athlete C,Game,11.7,22,8,45,20,10,9,1,0.17777777777777778,0.23076923076923078
2023-01-30,Athlete D,Game,10.5,43,15,70,23,16,19,1,0.21428571428571427,0.3275862068965517
2023-01-30,Athlete E,Game,12.7,31,13,53,13,6,9,1,0.24528301886792453,0.32142857142857145
2023-01-30,Athlete F,Game,9.05,53,10,77,53,16,17,1,0.12987012987012986,0.19767441860465115
2023-01-30,Athlete G,Game,12.55,36,12,58,26,12,8,1,0.20689655172413793,0.17391304347826086
2023-01-30,Athlete H,Game,11.350000000000001,91,26,155,37,15,14,1,0.16774193548387098,0.21212121212121213
2023-01-30,Athlete J,Game,11.95,89,32,168,44,27,13,1,0.19047619047619047,0.15476190476190477
2023-01-30,Ben Vander Plas,Game,11.35,108,22,172,42,30,12,1,0.12790697674418605,0.14285714285714285
2023-02-04,Athlete A,Game,15.100000000000001,11,7,28,10,4,1,1,0.25,0.06666666666666667
2023-02-04,Athlete C,Game,9.95,45,11,68,18,14,8,1,0.16176470588235295,0.2
2023-02-04,Athlete D,Game,13.55,60,22,110,23,13,13,1,0.2,0.2653061224489796
2023-02-04,Athlete E,Game,11.6,32,13,69,16,5,6,1,0.18840579710144928,0.2222222222222222
2023-02-04,Athlete F,Game,12.4,74,28,126,30,12,21,1,0.2222222222222222,0.3333333333333333
2023-02-04,Athlete H,Game,13.2,81,30,143,32,14,10,1,0.2097902097902098,0.17857142857142858
2023-02-04,Athlete J,Game,15.0,108,43,192,36,34,16,1,0.22395833333333334,0.18604651162790697
2023-02-04,Ben Vander Plas,Game,12.7,83,21,141,20,14,13,1,0.14893617021276595,0.2765957446808511
2023-02-07,Athlete C,Game,12.25,67,13,108,23,9,18,1,0.12037037037037036,0.36
2023-02-07,Athlete D,Game,13.1,50,24,97,18,6,12,1,0.24742268041237114,0.3333333333333333
2023-02-07,Athlete F,Game,12.8,64,22,116,38,16,15,1,0.1896551724137931,0.21739130434782608
2023-02-07,Athlete G,Game,14.85,99,36,172,37,22,13,1,0.20930232558139536,0.18055555555555555
2023-02-07,Athlete H,Game,12.55,80,34,143,34,19,10,1,0.23776223776223776,0.15873015873015872
2023-02-07,Athlete J,Game,14.55,89,37,167,25,28,16,1,0.2215568862275449,0.2318840579710145
2023-02-07,Ben Vander Plas,Game,12.65,58,17,102,13,16,7,1,0.16666666666666666,0.19444444444444445
2023-02-11,Athlete A,Game,15.85,38,18,68,12,5,4,1,0.2647058823529412,0.19047619047619047
2023-02-11,Athlete C,Game,12.35,57,10,74,10,8,8,1,0.13513513513513514,0.3076923076923077
2023-02-11,Athlete D,Game,12.649999999999999,49,24,98,29,9,15,1,0.24489795918367346,0.2830188679245283
2023-02-11,Athlete E,Game,15.3,53,20,96,30,11,15,1,0.20833333333333334,0.26785714285714285
2023-02-11,Athlete F,Game,11.1,55,26,111,28,19,17,1,0.23423423423423423,0.265625
2023-02-11,Athlete G,Game,13.5,26,9,43,27,8,9,1,0.20930232558139536,0.20454545454545456
2023-02-11,Athlete H,Game,12.6,59,32,111,23,18,14,1,0.2882882882882883,0.2545454545454545
2023-02-11,Athlete J,Game,15.0,62,24,112,24,19,2,1,0.21428571428571427,0.044444444444444446
2023-02-11,Ben Vander Plas,Game,12.7,75,23,134,29,18,10,1,0.17164179104477612,0.17543859649122806
2023-02-15,Athlete C,Game,9.95,50,11,80,30,12,12,1,0.1375,0.2222222222222222
2023-02-15,Athlete D,Game,12.149999999999999,52,22,94,21,10,22,1,0.23404255319148937,0.41509433962264153
2023-02-15,Athlete E,Game,13.65,21,7,36,20,6,4,1,0.19444444444444445,0.13333333333333333
2023-02-15,Athlete F,Game,8.65,50,14,80,41,19,10,1,0.175,0.14285714285714285
2023-02-15,Athlete G,Game,12.7,45,8,62,17,7,5,1,0.12903225806451613,0.1724137931034483
2023-02-15,Athlete H,Game,12.3,54,28,105,36,14,19,1,0.26666666666666666,0.2753623188405797
2023-02-15,Athlete J,Game,14.25,73,17,114,40,22,16,1,0.14912280701754385,0.20512820512820512
2023-02-15,Ben Vander Plas,Game,10.75,90,21,150,30,28,19,1,0.14,0.24675324675324675
2023-02-18,Athlete C,Game,14.1,35,11,69,26,11,11,1,0.15942028985507245,0.22916666666666666
2023-02-18,Athlete D,Game,14.3,62,21,105,32,14,18,1,0.2,0.28125
2023-02-18,Athlete E,Game,13.55,33,9,52,15,13,4,1,0.17307692307692307,0.125
2023-02-18,Athlete F,Game,13.6,69,23,112,35,23,17,1,0.20535714285714285,0.22666666666666666
2023-02-18,Athlete G,Game,16.65,27,9,51,22,7,4,1,0.17647058823529413,0.12121212121212122
2023-02-18,Athlete H,Game,14.05,72,22,126,37,12,8,1,0.1746031746031746,0.14035087719298245
2023-02-18,Athlete J,Game,15.5,87,30,149,34,20,17,1,0.20134228187919462,0.23943661971830985
2023-02-18,Ben Vander Plas,Game,13.7,74,20,132,26,18,11,1,0.15151515151515152,0.2
2023-02-22,Athlete C,Game,12.05,41,13,70,17,19,12,1,0.18571428571428572,0.25
2023-02-22,Athlete D,Game,12.899999999999999,55,17,92,18,10,8,1,0.18478260869565216,0.2222222222222222
2023-02-22,Athlete E,Game,9.35,22,8,44,23,8,12,1,0.18181818181818182,0.27906976744186046
2023-02-22,Athlete F,Game,9.850000000000001,54,15,83,43,14,16,1,0.18072289156626506,0.2191780821917808
2023-02-22,Athlete G,Game,12.95,30,12,57,20,13,7,1,0.21052631578947367,0.175
2023-02-22,Athlete H,Game,13.0,74,20,123,31,17,17,1,0.16260162601626016,0.26153846153846155
2023-02-22,Athlete J,Game,13.85,87,28,161,31,33,10,1,0.17391304347826086,0.13513513513513514
2023-02-22,Ben Vander Plas,Game,11.95,97,27,153,32,27,10,1,0.17647058823529413,0.14492753623188406
2023-02-25,Athlete C,Game,10.45,70,10,106,19,9,16,1,0.09433962264150944,0.36363636363636365
2023-02-25,Athlete D,Game,11.649999999999999,67,15,98,29,20,14,1,0.15306122448979592,0.2222222222222222
2023-02-25,Athlete E,Game,13.05,26,19,64,29,5,9,1,0.296875,0.20930232558139536
2023-02-25,Athlete F,Game,9.4,60,10,80,34,16,21,1,0.125,0.29577464788732394
2023-02-25,Athlete G,Game,16.25,32,6,42,13,8,3,1,0.14285714285714285,0.125
2023-02-25,Athlete H,Game,11.55,57,31,114,23,8,12,1,0.2719298245614035,0.27906976744186046
2023-02-25,Athlete J,Game,13.45,115,38,181,60,45,20,1,0.20994475138121546,0.16
2023-02-25,Ben Vander Plas,Game,12.600000000000001,62,18,105,28,14,11,1,0.17142857142857143,0.20754716981132076
2023-02-28,Athlete A,Game,15.3,24,12,46,7,5,3,1,0.2608695652173913,0.2
2023-02-28,Athlete C,Game,15.450000000000001,28,9,44,12,5,7,1,0.20454545454545456,0.2916666666666667
2023-02-28,Athlete D,Game,13.45,37,20,70,26,16,16,1,0.2857142857142857,0.27586206896551724
2023-02-28,Athlete E,Game,15.3,50,30,92,41,14,21,1,0.32608695652173914,0.27631578947368424
2023-02-28,Athlete F,Game,12.5,66,27,109,30,25,16,1,0.24770642201834864,0.22535211267605634
2023-02-28,Athlete H,Game,13.2,64,38,119,22,12,7,1,0.31932773109243695,0.17073170731707318
2023-02-28,Athlete J,Game,14.25,76,33,155,42,33,11,1,0.2129032258064516,0.12790697674418605
2023-02-28,Ben Vander Plas,Game,13.9,65,19,110,18,17,5,1,0.17272727272727273,0.125
2023-03-04,Athlete A,Game,12.600000000000001,24,11,43,6,5,2,1,0.2558139534883721,0.15384615384615385
2023-03-04,Athlete B,Game,12.2,6,0,8,7,2,2,1,0.0,0.18181818181818182
2023-03-04,Athlete C,Game,12.2,32,6,55,17,18,7,1,0.10909090909090909,0.16666666666666666
2023-03-04,Athlete D,Game,13.45,64,16,101,28,20,13,1,0.15841584158415842,0.21311475409836064
2023-03-04,Athlete E,Game,15.1,53,22,94,40,12,17,1,0.23404255319148937,0.2463768115942029
2023-03-04,Athlete F,Game,13.1,67,22,109,45,22,9,1,0.2018348623853211,0.11842105263157894
2023-03-04,Athlete H,Game,13.25,74,32,138,22,14,11,1,0.2318840579710145,0.23404255319148937
2023-03-04,Athlete J,Game,12.8,89,31,153,35,33,20,1,0.20261437908496732,0.22727272727272727
2023-03-04,Ben Vander Plas,Game,12.5,73,22,118,20,26,7,1,0.1864406779661017,0.1320754716981132
2023-03-09,Athlete A,Game,13.649999999999999,51,11,77,14,4,3,1,0.14285714285714285,0.14285714285714285
2023-03-09,Athlete C,Game,11.9,43,10,69,14,15,7,1,0.14492753623188406,0.19444444444444445
2023-03-09,Athlete D,Game,13.75,50,20,85,30,14,17,1,0.23529411764705882,0.2786885245901639
2023-03-09,Athlete E,Game,8.7,36,13,58,22,9,3,1,0.22413793103448276,0.08823529411764706
2023-03-09,Athlete F,Game,10.85,40,13,71,45,23,14,1,0.18309859154929578,0.17073170731707318
2023-03-09,Athlete G,Game,14.65,73,21,119,38,20,10,1,0.17647058823529413,0.14705882352941177
2023-03-09,Athlete H,Game,12.2,99,29,168,26,9,13,1,0.17261904761904762,0.2708333333333333
2023-03-09,Athlete J,Game,11.8,85,30,153,46,32,21,1,0.19607843137254902,0.21212121212121213
2023-03-10,Athlete A,Game,12.0,38,21,76,8,5,3,1,0.27631578947368424,0.1875
2023-03-10,Athlete B,Game,12.350000000000001,11,1,12,10,5,1,1,0.08333333333333333,0.0625
2023-03-10,Athlete C,Game,13.55,33,19,64,18,10,11,1,0.296875,0.28205128205128205
2023-03-10,Athlete D,Game,13.55,55,31,108,21,11,22,1,0.28703703703703703,0.4074074074074074
2023-03-10,Athlete E,Game,15.4,70,22,118,43,16,18,1,0.1864406779661017,0.23376623376623376
2023-03-10,Athlete F,Game,10.25,47,8,67,50,19,14,1,0.11940298507462686,0.1686746987951807
2023-03-10,Athlete G,Game,12.95,64,28,120,28,16,12,1,0.23333333333333334,0.21428571428571427
2023-03-10,Athlete H,Game,12.1,66,17,110,24,16,11,1,0.15454545454545454,0.21568627450980393
2023-03-10,Athlete J,Game,12.0,88,30,160,43,19,18,1,0.1875,0.225
2023-03-11,Athlete A,Game,12.6,30,9,56,9,4,6,1,0.16071428571428573,0.3157894736842105
2023-03-11,Athlete C,Game,10.649999999999999,40,8,63,13,8,11,1,0.12698412698412698,0.34375
2023-03-11,Athlete D,Game,11.95,42,12,67,15,14,19,1,0.1791044776119403,0.3958333333333333
2023-03-11,Athlete E,Game,12.4,45,27,95,34,8,18,1,0.28421052631578947,0.3
2023-03-11,Athlete F,Game,9.8,57,7,80,49,17,13,1,0.0875,0.16455696202531644
2023-03-11,Athlete G,Game,13.4,79,25,136,45,20,17,1,0.18382352941176472,0.2073170731707317
2023-03-11,Athlete H,Game,11.5,51,23,95,28,9,11,1,0.24210526315789474,0.22916666666666666
2023-03-11,Athlete J,Game,10.8,91,26,146,40,18,12,1,0.1780821917808219,0.17142857142857143
2023-10-14,Athlete B,Game,11.55,22,3,28,34,21,5,2,0.10714285714285714,0.08333333333333333
2023-10-14,Athlete C,Game,13.2,34,6,56,15,15,5,2,0.10714285714285714,0.14285714285714285
2023-10-14,Athlete E,Game,14.600000000000001,47,27,90,25,11,22,2,0.3,0.3793103448275862
